caldt,vwretd
03/31/1959,0.003352
04/30/1959,0.040054
05/29/1959,0.023631
06/30/1959,-0.000725
07/31/1959,0.034504
08/31/1959,-0.011076
09/30/1959,-0.043182
10/30/1959,0.012574
11/30/1959,0.018486
12/31/1959,0.029627
01/29/1960,-0.069933
02/29/1960,0.013922
03/31/1960,-0.012566
04/29/1960,-0.016113
05/31/1960,0.033513
06/30/1960,0.021802
07/29/1960,-0.022948
08/31/1960,0.031467
09/30/1960,-0.058713
10/31/1960,-0.001079
11/30/1960,0.046081
12/30/1960,0.048839
01/31/1961,0.064320
02/28/1961,0.032838
03/30/1961,0.029345
04/28/1961,0.004537
05/31/1961,0.023553
06/30/1961,-0.026673
07/31/1961,0.033795
08/31/1961,0.024730
09/29/1961,-0.018674
10/31/1961,0.028175
11/30/1961,0.045226
12/29/1961,0.004696
01/31/1962,-0.037356
02/28/1962,0.020592
03/30/1962,-0.003842
04/30/1962,-0.061743
05/31/1962,-0.079847
06/29/1962,-0.080669
07/31/1962,0.065203
08/31/1962,0.021669
09/28/1962,-0.048816
10/31/1962,0.008313
11/30/1962,0.108268
12/31/1962,0.015534
01/31/1963,0.050367
02/28/1963,-0.024189
03/29/1963,0.036581
04/30/1963,0.049070
05/31/1963,0.019674
06/28/1963,-0.018605
07/31/1963,-0.001821
08/30/1963,0.053466
09/30/1963,-0.010402
10/31/1963,0.034825
11/29/1963,-0.004487
12/31/1963,0.026065
01/31/1964,0.027391
02/28/1964,0.017015
03/31/1964,0.017232
04/30/1964,0.006192
05/28/1964,0.016815
06/30/1964,0.018084
07/31/1964,0.018910
08/31/1964,-0.011621
09/30/1964,0.030399
10/30/1964,0.008745
11/30/1964,0.001598
12/31/1964,0.005228
01/29/1965,0.034791
02/26/1965,0.003746
03/31/1965,-0.012213
04/30/1965,0.035612
05/28/1965,-0.003122
06/30/1965,-0.046880
07/30/1965,0.014486
08/31/1965,0.027560
09/30/1965,0.033366
10/29/1965,0.028812
11/30/1965,-0.003821
12/31/1965,0.010349
01/31/1966,0.005705
02/28/1966,-0.012750
03/31/1966,-0.023041
04/29/1966,0.022158
05/31/1966,-0.049140
06/30/1966,-0.014380
07/29/1966,-0.012129
08/31/1966,-0.071650
09/30/1966,-0.006244
10/31/1966,0.048333
11/30/1966,0.011223
12/30/1966,0.000326
01/31/1967,0.079215
02/28/1967,0.007514
03/31/1967,0.041137
04/28/1967,0.043371
05/31/1967,-0.046810
06/30/1967,0.019319
07/31/1967,0.046454
08/31/1967,-0.006824
09/29/1967,0.033815
10/31/1967,-0.027448
11/30/1967,0.006435
12/29/1967,0.027079
01/31/1968,-0.041875
02/29/1968,-0.026900
03/29/1968,0.009696
04/30/1968,0.084092
05/31/1968,0.016374
06/28/1968,0.009916
07/30/1968,-0.017444
08/30/1968,0.016415
09/30/1968,0.039351
10/31/1968,0.008587
11/29/1968,0.053580
12/31/1968,-0.040826
01/31/1969,-0.007547
02/28/1969,-0.042321
03/28/1969,0.034847
04/30/1969,0.022771
05/29/1969,0.003854
06/30/1969,-0.054357
07/31/1969,-0.058632
08/29/1969,0.045728
09/30/1969,-0.023941
10/31/1969,0.046900
11/28/1969,-0.029152
12/31/1969,-0.016922
01/30/1970,-0.075398
02/27/1970,0.059521
03/31/1970,0.002806
04/30/1970,-0.088831
05/29/1970,-0.054689
06/30/1970,-0.049032
07/31/1970,0.075523
08/31/1970,0.049778
09/30/1970,0.034702
10/30/1970,-0.009032
11/30/1970,0.054387
12/31/1970,0.058684
01/29/1971,0.042828
02/26/1971,0.013317
03/31/1971,0.039068
04/30/1971,0.036965
05/28/1971,-0.037150
06/30/1971,0.002439
07/30/1971,-0.040827
08/31/1971,0.042036
09/30/1971,-0.005038
10/29/1971,-0.040129
11/30/1971,0.002898
12/31/1971,0.087880
01/31/1972,0.019088
02/29/1972,0.030221
03/30/1972,0.007315
04/28/1972,0.005476
05/31/1972,0.022019
06/30/1972,-0.020156
07/31/1972,0.003245
08/31/1972,0.039425
09/29/1972,-0.003277
10/31/1972,0.010878
11/30/1972,0.050297
12/29/1972,0.013663
01/31/1973,-0.016752
02/28/1973,-0.033818
03/30/1973,-0.001093
04/30/1973,-0.040064
05/31/1973,-0.013950
06/29/1973,-0.005178
07/31/1973,0.039128
08/31/1973,-0.031544
09/28/1973,0.042219
10/31/1973,0.000312
11/30/1973,-0.107220
12/31/1973,0.017971
01/31/1974,-0.008120
02/28/1974,0.001992
03/29/1974,-0.021818
04/30/1974,-0.037649
05/31/1974,-0.026896
06/28/1974,-0.012816
07/31/1974,-0.076698
08/30/1974,-0.082177
09/30/1974,-0.117511
10/31/1974,0.168113
11/29/1974,-0.045688
12/31/1974,-0.018021
01/31/1975,0.123610
02/28/1975,0.067460
03/31/1975,0.024014
04/30/1975,0.049424
05/30/1975,0.051193
06/30/1975,0.046220
07/31/1975,-0.065504
08/29/1975,-0.015663
09/30/1975,-0.032250
10/31/1975,0.064855
11/28/1975,0.030089
12/31/1975,-0.010485
01/30/1976,0.120143
02/27/1976,-0.005756
03/31/1976,0.032640
04/30/1976,-0.009610
05/28/1976,-0.008116
06/30/1976,0.043959
07/30/1976,-0.007202
08/31/1976,0.001599
09/30/1976,0.024421
10/29/1976,-0.020211
11/30/1976,-0.001041
12/31/1976,0.053775
01/31/1977,-0.049654
02/28/1977,-0.015638
03/31/1977,-0.012502
04/29/1977,0.000641
05/31/1977,-0.015064
06/30/1977,0.047776
07/29/1977,-0.015453
08/31/1977,-0.012310
09/30/1977,-0.000825
10/31/1977,-0.041984
11/30/1977,0.036752
12/30/1977,0.005570
01/31/1978,-0.060643
02/28/1978,-0.016260
03/31/1978,0.026925
04/28/1978,0.088964
05/31/1978,0.013719
06/30/1978,-0.016578
07/31/1978,0.056974
08/31/1978,0.033641
09/29/1978,-0.005163
10/31/1978,-0.089570
11/30/1978,0.026771
12/29/1978,0.016627
01/31/1979,0.042697
02/28/1979,-0.028649
03/30/1979,0.057361
04/30/1979,0.004183
05/31/1979,-0.016818
06/29/1979,0.040324
07/31/1979,0.012051
08/31/1979,0.061865
09/28/1979,0.001416
10/31/1979,-0.065560
11/30/1979,0.052777
12/31/1979,0.018340
01/31/1980,0.061308
02/29/1980,0.002611
03/31/1980,-0.097518
04/30/1980,0.042394
05/30/1980,0.055560
06/30/1980,0.029722
07/31/1980,0.068200
08/29/1980,0.013454
09/30/1980,0.027935
10/31/1980,0.017809
11/28/1980,0.109910
12/31/1980,-0.030634
01/30/1981,-0.043370
02/27/1981,0.021267
03/31/1981,0.038285
04/30/1981,-0.020211
05/29/1981,0.006539
06/30/1981,-0.008255
07/31/1981,0.000714
08/31/1981,-0.055540
09/30/1981,-0.050466
10/30/1981,0.052115
